Empreendimento;UF;Torre;Unidade;Status da Unidade;Valor Unidade/Lote;Andar;Tipologia
RESERVA DOS COLIBRIS;PB;BLOCO A;01703;Disponível;R$ 271.500,00;017;2 DORM C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00210;Disponível;R$ 240.606,00;002;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00709;Disponível;R$ 271.172,00;007;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01402;Venda em Processo;R$ 267.468,00;014;2 DORM C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01512;Disponível;R$ 268.812,00;015;2 DORM C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01612;Disponível;R$ 270.156,00;016;2 DORM C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01610;Disponível;R$ 270.156,00;016;2 DORM C/ VG CAR - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00107;Disponível;R$ 263.078,00;001;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01107;Disponível;R$ 276.568,00;011;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00008;Disponível;R$ 228.504,00;000;2 DORM S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00307;Disponível;R$ 265.776,00;003;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;00708;Disponível;R$ 271.172,00;007;2 DORM C/ VAR S/ VG - MCMV FX2
RESERVA DOS COLIBRIS;PB;BLOCO A;01007;Disponível;R$ 275.220,00;010;2 DORM C/ VAR S/ VG - MCMV FX2
